Question,Option 1,Option 2,Option 3,Option 4,Correct Answer,Time limit
¿Qué es el Cryptojacking en entornos de cómputo en la nube?,Secuestro de archivos para pedir un rescate en bitcoins,Robo no autorizado de poder de cómputo para minar criptomonedas,Infección que apaga físicamente los servidores del centro de datos,Técnica para robar contraseñas de correos institucionales,2,20
¿Por qué los atacantes de Tesla no destruyeron ni borraron ningún archivo?,Porque no sabían cómo usar comandos de eliminación en Linux,Para no alertar al personal y minar Monero de forma silenciosa,Porque el sistema operativo Windows bloqueó sus permisos,Porque solo querían cambiar el fondo de pantalla del servidor,2,20
¿Cuál fue la brecha de seguridad que permitió la intrusión en Tesla?,Un virus que entró por una memoria USB en una laptop corporativa,Una consola de Kubernetes expuesta a internet sin contraseña,Un cable de fibra óptica roto en el centro de datos de AWS,Un ataque de fuerza bruta que duró más de tres meses continuos,2,20
¿Qué criptomoneda minaban parásitamente en los servidores de Tesla?,Bitcoin (BTC),Dogecoin (DOGE),"Monero (XMR), optimizada para CPUs y de difícil rastreo",Ethereum clásico,3,20
¿Qué síntoma delató el ataque de Cryptojacking a los administradores?,Mensajes de burla en las pantallas de las oficinas corporativas,Procesadores al 100% de CPU y factura de nube disparada,Falla total en los frenos de los automóviles eléctricos de prueba,Computadoras apagándose repentinamente por sobrecalentamiento,2,20
¿Por qué operar servidores en modo «Headless» dificultó notar el hackeo?,Porque no tienen interfaz gráfica ni pantallas con ventanas visuales,Porque las tarjetas de video se desconectan de la red interna,Porque los cables de red funcionan a la mitad de su velocidad,Porque Linux no registra ninguna actividad en sus archivos de log,1,20
"En la auditoría forense con Bash, ¿qué comando revela el usuario activo?",whoami,hostname,uname -a,ifconfig,1,20
¿Qué información técnica esencial nos proporciona el comando «id»?,La marca y número de serie de la tarjeta madre del equipo,El identificador numérico de usuario (UID) y sus grupos asignados,La dirección física MAC de la tarjeta de red del servidor,La contraseña encriptada del superusuario administrador root,2,20
"En Debian GNU/Linux, ¿qué indica un identificador de usuario UID 1000?",Es el superusuario supremo (root) con control absoluto,Es una cuenta especial de un hacker atacante infiltrado,Es el primer usuario estándar regular creado en el sistema,Es una cuenta temporal exclusiva para reparar el disco duro,3,20
¿Para qué sirve el comando «uptime» durante una investigación forense?,Para medir la velocidad de descarga de archivos en internet,Para ver el tiempo encendido y la carga media de CPU (load average),Para reiniciar el servidor remoto inmediatamente sin avisar,Para cambiar la hora del reloj del sistema operativo en la nube,2,20
"Si «uptime» muestra un load average mayor a 4.00 en reposo, ¿qué sugiere?",Que la computadora está apagada correctamente,Actividad anómala o procesos parásitos saturando el procesador,Que la conexión Wi-Fi es de excelente calidad y velocidad,Que la memoria RAM se encuentra completamente vacía,2,20
¿Qué comando permite inspeccionar el modelo y arquitectura del CPU?,lscpu,free -h,df -h,lsblk,1,20
¿Qué procesadores de alta potencia descubrimos en Google Cloud Shell?,Procesadores Intel Atom o Celeron de muy baja gama,Procesadores empresariales Intel Xeon o AMD EPYC,Chips ARM diseñados exclusivamente para relojes inteligentes,Tarjetas de sonido integradas a la tarjeta madre física,2,20
¿Qué comando muestra la memoria RAM total y disponible en GiB?,free -h,ram -show,cat /proc/mem,df -h,1,20
¿Qué archivo del sistema contiene la lista de usuarios y cuentas locales?,/etc/passwd,/etc/shadow,/etc/hosts,/etc/network,1,20
¿Por qué cuentas como «daemon» tienen la shell «/usr/sbin/nologin»?,Porque están descompuestas y no se pueden arreglar,Bastionado: evita que intrusos abran consola si vulneran el servicio,Porque son cuentas exclusivas para ver videos en internet,Para que el sistema gaste menos energía eléctrica en reposo,2,20
¿Qué diferencia existe entre «hostname -I» y «curl -s ifconfig.me»?,hostname -I muestra la IP privada interna y curl la IP pública,Uno mide la velocidad del disco y el otro la temperatura del CPU,Ambos comandos hacen exactamente lo mismo sin ninguna diferencia,Uno apaga la máquina remota y el otro borra las carpetas,1,20
"En la consola Linux, ¿qué comando usamos para crear una nueva carpeta?",touch,mkdir,create-folder,dir-make,2,20
¿Cuáles son los atajos esenciales para guardar y salir del editor «nano»?,Ctrl + S para guardar y Alt + F4 para salir de la ventana,Ctrl + O para escribir en disco y Ctrl + X para salir,Esc :wq como en el editor Vim clásico,Ctrl + C para guardar y Ctrl + V para pegar el texto,2,20
¿Qué comando usamos para filtrar y verificar la línea «ALUMNO» en el texto?,"grep ""ALUMNO"" bitacora_semana06.txt","find ""ALUMNO"" bitacora_semana06.txt","search ""ALUMNO"" en archivo","filter ""ALUMNO"" bitacora.txt",1,20
